BASE_YY,SIDO,DIS_TYPE,SEP_CNT,mohw_dis1,mohw_dis10,mohw_dis11,mohw_dis12,mohw_dis13,mohw_dis14,mohw_dis15,mohw_dis2,mohw_dis3,mohw_dis4,mohw_dis5,mohw_dis6,mohw_dis7,mohw_dis8,mohw_dis9,ACC_SRU_CNT,SEP_DV_CNT,ESTI_CNT,MC_STUDENT_CNT,EFF_LOW,EX_VAR_001,EX_VAR_002,EX_VAR_003,EX_VAR_004,EX_VAR_005,EX_VAR_006,EX_VAR_007,EX_VAR_008,EX_VAR_009,EX_VAR_010,EX_VAR_011,EX_VAR_012,EX_VAR_013,EX_VAR_014,EX_VAR_015,EX_VAR_016,EX_VAR_017,EX_VAR_018,EX_VAR_019,EX_VAR_020,EX_VAR_021,EX_VAR_022,EX_VAR_023,EX_VAR_024,EX_VAR_025,EX_VAR_026,EX_VAR_027,EX_VAR_028,EX_VAR_029,EX_VAR_030,EX_VAR_031,EX_VAR_032,EX_VAR_033,EX_VAR_034,EX_VAR_035,EX_VAR_036,EX_VAR_037,EX_VAR_038,EX_VAR_039,EX_VAR_040,EX_VAR_041,EX_VAR_042,EX_VAR_044,EX_VAR_045,EX_VAR_046,EX_VAR_047,EX_VAR_048,EX_VAR_061,EX_VAR_062,EX_VAR_063,EX_VAR_065,EX_VAR_066,EX_VAR_067,EX_VAR_068,EX_VAR_069,EX_VAR_070,EX_VAR_071,EX_VAR_072,EX_VAR_073,EX_VAR_074,EX_VAR_075,EX_VAR_076,EX_VAR_077,EX_VAR_078,EX_VAR_079,EX_VAR_080,EX_VAR_081,EX_VAR_082,EX_VAR_083,EX_VAR_084,GDP,HG2_GD1,MC_BORN_CNT,MC_BORN_RT,MDL3_GD1,STSF_LOW,TOT_BORN_CNT,WLF_ORGNZ_CNT,WORK_TGT_RT,EX_SUV_003,EX_SUV_005,EX_SUV_007,EX_SUV_009,EX_SUV_011,EX_SUV_013,EX_SUV_015,EX_SUV_017,EX_SUV_019,EX_SUV_021,EX_SUV_025,EX_SUV_027,EX_SUV_029,EX_SUV_031,EX_SUV_033,EX_SUV_035,EX_SUV_037,EX_SUV_054,EX_SUV_056,EX_SUV_058,EX_SUV_060
2010,강원,특수_건강,77,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,24.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,69.87281399046104,0.0,8.187599364069953,4.92845786963434,1.9077901430842605,15.103338632750399,56.86009896536213,21.727395411605936,18.30859199280252,3.1039136302294197,89.08102766798419,96.49209486166008,7.114624505928854,15.118577075098813,50.09881422924901,59.980237154150196,3.1126482213438735,13.101604278074866,55.88235294117647,26.203208556149733,4.81283422459893
2010,강원,특수_발달지체,42,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,-28.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,72.88359788359789,1.7195767195767195,4.232804232804233,4.1005291005291005,2.513227513227513,14.550264550264549,53.317102860620814,20.02434570906878,20.57212416311625,6.086427267194157,93.7111038322961,95.80740255486407,9.30232558139535,15.427448411398625,45.135931870291515,50.83524402227317,5.86308548968228,31.753554502369667,68.24644549763033,0.0,0.0
2010,강원,특수_시각,113,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,1.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,64.38152011922503,0.5216095380029807,6.4083457526080485,6.929955290611028,10.879284649776453,10.879284649776453,70.35104364326375,15.085388994307399,12.2865275142315,2.2770398481973433,88.712422007941,94.10096426545661,5.899035734543392,12.98922291548497,45.830969937606355,53.31820760068066,7.37379466817924,16.705882352941178,74.11764705882354,3.058823529411765,6.11764705882353
2010,강원,특수_의사소통,78,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,21.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,35.95505617977528,3.7453183520599254,14.606741573033707,25.0936329588015,5.617977528089887,14.981273408239701,54.73098330241187,23.809523809523807,17.934446505875076,3.525046382189239,90.72538860103627,94.4041450777202,7.046632124352331,11.917098445595855,54.145077720207254,64.14507772020725,3.5751295336787567,30.383480825958703,67.84660766961652,1.7699115044247788,0.0
2010,강원,특수_자폐성,148,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,39.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,36.56403079076277,7.697690692792163,5.388383484954513,32.89013296011197,6.578026592022393,10.881735479356193,52.25320271288621,25.124340617935193,16.714393368500378,5.908063300678221,91.48059086224664,95.95786098706057,5.507843810832474,13.92419557998397,41.02828352227184,48.68888125500973,4.557425855948701,16.984653670676067,81.58440481128163,1.4309415180423062,0.0
2010,강원,특수_정서행동,111,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,17.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,49.22945205479452,2.5684931506849313,13.698630136986301,20.376712328767123,4.537671232876712,9.58904109589041,60.423394330821665,22.56907068532472,14.101184068891282,2.906350914962325,82.1311475409836,89.6311475409836,7.745901639344262,16.106557377049178,50.45081967213115,51.885245901639344,7.336065573770492,19.004524886877828,75.1131221719457,5.88235294117647,0.0
2010,강원,특수_지적,1325,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,92.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,38.99984086569064,5.8004455760662,9.5997772119669,25.700190961171227,11.899267982176957,8.000477402928071,64.36469265367316,19.419977511244376,12.612443778110944,3.602886056971514,85.40617205458013,89.97163398053503,6.328556756492396,16.552550496405342,52.79503105590062,56.20873477771801,4.560571232943708,17.607708358905118,79.38504971155027,2.1909905486682217,0.8162513808763961
2010,강원,특수_지체,285,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,48.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,48.25174825174825,1.8012290739563466,4.301758847213392,15.278660733206188,17.482517482517483,12.884085611358339,60.699021749453884,20.60024693703106,14.996675847658846,3.704055465856207,88.20621468926554,94.93543179983858,7.84907183212268,14.31598062953995,48.839790153349476,52.66343825665859,2.9156577885391446,17.453535569322796,80.70925016022218,1.6022217474898526,0.2349925229651784
2010,강원,특수_청각,83,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,12.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,64.3569844789357,1.7738359201773837,11.419068736141908,14.634146341463413,0.11086474501108648,7.705099778270511,61.987647389107245,18.613138686131386,15.693430656934307,3.7057832678270635,88.91182542023002,94.60336184016515,6.340312592155706,13.712769094662342,49.513417870834566,52.5508699498673,3.0964317310527867,12.631578947368421,86.63157894736842,0.0,0.7368421052631579
2010,강원,특수_학습,488,7.0,2.0,18.0,1293.0,284.0,142.0,0.0,378.0,6.0,154.0,9.0,45.0,2.0,54.0,283.0,619,5.0,277046.0,1828.3176226855223,22.0,713.2797432597253,40.97270396685925,73.3294448501901,40.579806841422695,70.57930215993166,5.330573372736431,5.584306385072207,31.599441035526546,31.599441035526546,3.586851300420725,1.7101822641561475,1.1188782804028912,19.320933472736677,1010.2163461538462,713.6276595744681,0.0,7.111111111111111,35.12903225806451,66.0,1816.7188775510206,0.0,15.61290322580645,573.0,352.0059612518629,553.0909090909091,1869534054.1816802,45740840.66561428,11357911.05873624,26840594.040315975,1230155.4825801705,285417.0920429035,401917.7748828763,73973161.93162507,4.002380952380952,25218.19277980517,48303.69465739762,0.0,44504.58522488592,26356.253332345972,46678.58914416603,32665.408751334046,57026.28429057725,5.6,28.6,42.0,18.8,5.1,13.902962962962961,8230.490069394593,593324.4279900655,7.544642857142858,34.655696202531644,41.96832669322709,19.907729468599037,1.9753246753246751,19.1,35.0,22.7,9.4,8.3,11.4,32.1,0.008062992522646736,686.1471701820155,10082.118868484302,20.307582938388624,1539783.2440875664,137002.5876581088,8260840.836291958,70713.7330956302,0.9,4.033333333333332,600.0,5.0,6.833333333333333,3.4,12112.0,241.65762711864406,46.2302877546734,35.0541215653622,2.7893422148209823,25.89508742714405,16.902581182348044,3.0807660283097418,16.278101582014987,61.90135811293781,23.10578984989278,12.794853466761975,2.197998570407434,80.91626213592234,82.70631067961165,7.91868932038835,20.600728155339805,64.25970873786407,67.2633495145631,8.161407766990292,11.397058823529411,79.41176470588235,2.941176470588235,6.25
