BASE_YY,CLASS_NM,SIDO_NM,유_특수1정_CNT1,유_특수2정_CNT1,유_일반_CNT1,초_특수1정_CNT1,초_특수2정_CNT1,초_일반_CNT1,중고_특수1정_CNT1,중고_특수2정_CNT1,중고_일반_CNT1
2015,특수학교,전남,6,1,0,38,23,2,104,70,15
2015,특수학교,경북,5,6,0,58,37,0,151,149,17
2015,특수학교,경남,3,5,0,78,43,0,144,160,2
2015,특수학교,제주,1,2,0,23,11,2,61,24,4
2016,특수학교,서울,48,32,0,277,80,4,528,276,23
2016,특수학교,부산,33,22,0,100,62,0,148,144,0
2016,특수학교,대구,3,5,0,84,31,3,157,110,11
2016,특수학교,인천,5,6,0,69,19,0,94,85,1
2016,특수학교,광주,1,2,0,57,13,0,110,115,1
2016,특수학교,대전,8,5,0,47,19,0,90,79,1
2016,특수학교,울산,4,1,1,30,22,0,84,71,0
2016,특수학교,세종,1,1,0,3,4,0,7,13,0
2016,특수학교,경기,49,24,0,283,137,0,517,464,0
2016,특수학교,강원,5,2,0,52,15,6,120,75,10
2016,특수학교,충북,15,4,0,60,22,0,151,64,5
2016,특수학교,충남,4,8,0,41,14,2,95,71,14
2016,특수학교,전북,8,8,0,44,33,0,132,81,0
2016,특수학교,전남,6,1,0,48,24,0,116,64,14
2016,특수학교,경북,5,7,0,64,29,1,148,149,21
2016,특수학교,경남,7,2,0,82,39,0,170,126,2
2016,특수학교,제주,3,0,0,21,17,0,53,38,1
2017,특수학교,서울,46,31,0,282,89,0,515,285,24
2017,특수학교,부산,34,19,0,106,55,0,176,120,0
2017,특수학교,대구,4,3,0,85,29,2,152,115,7
2017,특수학교,인천,6,4,0,76,25,0,119,87,0
2017,특수학교,광주,1,4,0,56,14,0,114,101,0
2017,특수학교,대전,7,6,0,48,20,0,99,74,2
2017,특수학교,울산,4,1,0,35,24,0,81,74,0
2017,특수학교,세종,2,2,0,6,3,0,7,19,0
2017,특수학교,경기,47,27,0,304,129,5,562,431,22
2017,특수학교,강원,5,1,1,51,22,4,128,82,16
2017,특수학교,충북,17,6,0,66,27,0,141,97,2
2017,특수학교,충남,4,7,0,35,23,0,92,94,6
2017,특수학교,전북,9,8,0,44,29,0,126,97,0
2017,특수학교,전남,5,2,0,49,25,0,123,72,11
2017,특수학교,경북,4,9,0,62,30,0,151,139,19
2017,특수학교,경남,6,2,0,83,45,0,159,147,2
2017,특수학교,제주,3,0,0,25,16,0,64,28,1
2018,특수학교,서울,59,36,0,266,95,0,499,300,24
2018,특수학교,부산,34,19,0,118,48,0,198,92,0
2018,특수학교,대구,4,2,0,88,37,0,164,134,7
2018,특수학교,인천,5,8,0,76,53,0,139,101,1
2018,특수학교,광주,3,5,0,50,28,0,139,71,6
2018,특수학교,대전,9,5,0,46,19,1,90,93,3
2018,특수학교,울산,2,1,0,28,29,0,103,64,0
2018,특수학교,세종,3,1,0,4,7,0,9,18,0
2018,특수학교,경기,46,21,2,281,149,15,539,493,1
2018,특수학교,강원,5,0,2,56,18,2,137,74,9
2018,특수학교,충북,17,3,0,66,34,0,136,106,0
2018,특수학교,충남,6,6,0,43,33,1,102,110,7
2018,특수학교,전북,9,8,0,45,31,0,130,105,0
2018,특수학교,전남,5,3,0,50,25,0,126,91,7
2018,특수학교,경북,4,8,0,71,30,0,159,132,6
2018,특수학교,경남,5,2,0,78,58,0,158,152,1
2018,특수학교,제주,2,1,0,26,17,0,66,20,0
2019,특수학교,서울,62,37,0,261,114,0,523,301,15
2019,특수학교,부산,34,18,1,113,59,0,211,71,5
2019,특수학교,대구,2,2,0,78,62,0,189,127,0
2019,특수학교,인천,7,8,0,75,70,0,139,98,0
2019,특수학교,광주,5,10,0,49,34,0,168,48,0
2019,특수학교,대전,10,6,0,47,23,0,93,93,1
2019,특수학교,울산,4,0,0,33,33,0,100,72,0
2019,특수학교,세종,2,1,0,5,6,0,17,15,0
2019,특수학교,경기,45,31,1,288,176,0,612,441,0
2019,특수학교,강원,4,1,1,55,27,0,142,64,3
2019,특수학교,충북,17,2,0,77,31,1,135,100,2
2019,특수학교,충남,6,5,0,43,42,0,115,108,3
2019,특수학교,전북,9,9,0,45,31,0,128,117,0
2019,특수학교,전남,4,3,0,47,29,0,132,96,3
2019,특수학교,경북,6,6,0,78,22,0,197,88,7
2019,특수학교,경남,5,4,1,80,65,0,174,153,0
2019,특수학교,제주,1,2,0,28,20,0,62,23,0
2020,특수학교,서울,68,30,0,283,127,0,528,314,13
2020,특수학교,부산,32,16,2,104,88,0,194,86,1
2020,특수학교,대구,2,2,0,85,60,1,194,127,0
2020,특수학교,인천,7,3,0,84,94,0,143,110,0
2020,특수학교,광주,10,5,0,62,29,0,175,47,0
